time,open,high,low,close,MA 1,MA 2
1775494800,4660.36,4661.01,4645.39,4653.37,,
1775498400,4653.37,4666.39,4648.86,4658.25,,
1775502000,4658.25,4659.58,4645.41,4655.62,,
1775505600,4655.62,4658.25,4648.01,4649.08,,
1775512800,4649.08,4667.59,4649.08,4658.12,,
1775516400,4658.12,4661.38,4651.12,4658.54,,
1775520000,4658.54,4661.41,4648.85,4654.5,,
1775523600,4654.5,4664.44,4615.7,4626.59,,
1775527200,4626.59,4653.63,4619.6,4650.05,,
1775530800,4650.05,4654.01,4639.26,4649.59,,
1775534400,4649.59,4664.2,4645.26,4659.89,,
1775538000,4659.89,4661.56,4622.77,4642.93,,
1775541600,4642.93,4656.61,4637.49,4652.96,,
1775545200,4652.96,4656.92,4636.37,4645.69,,
1775548800,4645.69,4690.97,4644.04,4682.85,,
1775552400,4682.85,4694.51,4658.5,4670.46,,
1775556000,4670.46,4680.43,4649.02,4651.79,,
1775559600,4651.79,4663.79,4628.43,4659.67,,
1775563200,4659.67,4670.79,4646.59,4651.04,,
1775566800,4651.04,4663.1,4635.4,4644.08,,
1775570400,4644.08,4661.69,4607.1,4633.18,,
1775574000,4633.18,4659.31,4624.71,4655.56,,
1775577600,4655.56,4668.51,4652.34,4656.99,,
1775581200,4656.99,4686.73,4653.71,4675.82,,
1775584800,4675.82,4686.18,4657.36,4662.2,,
1775588400,4662.2,4718.51,4660.29,4700.78,,
1775592000,4700.78,4716.76,4696.9,4706.24,,
1775599200,4706.24,4819.53,4706.24,4817.91,,
1775602800,4817.91,4836.41,4801.03,4832.82,,
1775606400,4832.82,4858.41,4808.66,4817.33,,
1775610000,4817.33,4824.78,4787.81,4810.1,,
1775613600,4810.1,4825.17,4798.32,4803.65,,
1775617200,4803.65,4806.04,4794.7,4797.72,,
1775620800,4797.72,4806.85,4790.37,4803.61,,
1775624400,4803.61,4844.2,4800.4,4827.61,,
1775628000,4827.61,4840.03,4819.74,4819.86,,
1775631600,4819.86,4821.36,4804.83,4813.06,,
1775635200,4813.06,4819.83,4789.93,4793.88,,
1775638800,4793.88,4806.9,4775.95,4783.28,,
1775642400,4783.28,4796.27,4770.79,4782.57,,
