time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1780038000,4523.62,4523.97,4516,4516.3,4577.43,4435.929999999999,4505.421030012127,,
1780038900,4516.3,4517.13,4510.74,4514.04,4577.43,4435.929999999999,4505.670836785318,,
1780039800,4514.04,4526.22,4512.78,4525.14,4577.43,4435.929999999999,4506.214723847498,,
1780040700,4525.14,4526.18,4521.99,4524.78,4577.43,4435.929999999999,4506.585705016364,,
1780041600,4524.78,4524.94,4514.11,4515.2,4577.43,4435.929999999999,4506.908255475155,,
1780042500,4515.2,4517.96,4512.42,4516.89,4577.43,4435.929999999999,4507.11610937879,,
1780043400,4516.89,4518,4513.95,4515.08,4577.43,4435.929999999999,4507.269194903389,,
1780044300,4515.08,4516.44,4510,4515.08,4577.43,4435.929999999999,4507.398289068001,,
1780045200,4515.08,4530.3,4513.18,4529.13,4577.43,4435.929999999999,4507.81312089142,,
1780046100,4529.13,4532.39,4522.19,4528.7,4577.43,4435.929999999999,4508.331657315957,,
1780047000,4528.7,4532.63,4524.69,4532.35,4577.43,4435.929999999999,4508.768028991206,,
1780047900,4532.35,4539.82,4529.58,4531.11,4577.43,4435.929999999999,4509.325381607121,,
1780048800,4531.11,4531.11,4525.44,4528.54,4577.43,4435.929999999999,4509.654918371865,,
1780049700,4528.54,4530.98,4525.75,4530.4,4577.43,4435.929999999999,4509.9741354118005,,
1780050600,4530.4,4543.13,4530.39,4537.85,4577.43,4435.929999999999,4510.56188180687,,
1780051500,4537.85,4541.02,4535.25,4538.54,4577.43,4435.929999999999,4511.046472191152,,
1780052400,4538.54,4540.42,4530.62,4532.14,4577.43,4435.929999999999,4511.486078969926,,
1780053300,4532.14,4534.52,4526.77,4528.06,4577.43,4435.929999999999,4511.847001299964,,
1780054200,4528.06,4531.36,4525.84,4530.98,4577.43,4435.929999999999,4512.126144235111,,
1780055100,4530.98,4538.9,4527.29,4538.35,4577.43,4435.929999999999,4512.641405678412,,
